#id: 952965544
#name: H.sapiens - Lymph node (Integrated)
#score: 37.2
#coverage: 53
#description: integrated dataset: weighted average of all H.sapiens LYMPH_NODE: 37.2, Coverage: 53
#organ: LYMPH_NODE
#integrated: true
#weights: lymph_node_Wilhelm_2014_Maxquant:0.909;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Lymph_node:0.091;
#publication_year: 2023
#filename: 9606-LYMPH_NODE-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000423674	359
9606.ENSP00000349142	359
9606.ENSP00000242285	358
9606.ENSP00000227667	358
9606.ENSP00000482075	357
9606.ENSP00000413436	356
9606.ENSP00000436585	355
9606.ENSP00000329662	353
9606.ENSP00000290158	352
9606.ENSP00000356448	352
9606.ENSP00000320309	351
9606.ENSP00000250559	351
9606.ENSP00000231487	350
9606.ENSP00000386636	350
9606.ENSP00000215909	349
9606.ENSP00000340305	349
9606.ENSP00000368831	349
9606.ENSP00000447053	348
9606.ENSP00000371194	347
9606.ENSP00000331901	347
9606.ENSP00000270776	346
9606.ENSP00000300291	345
9606.ENSP00000447001	344
9606.ENSP00000353099	343
9606.ENSP00000403172	343
9606.ENSP00000362803	342
9606.ENSP00000304102	342
9606.ENSP00000225698	342
9606.ENSP00000478310	342
9606.ENSP00000480421	341
9606.ENSP00000310670	340
9606.ENSP00000372136	339
9606.ENSP00000317334	339
9606.ENSP00000356520	339
9606.ENSP00000356807	338
9606.ENSP00000305260	338
9606.ENSP00000261303	338
9606.ENSP00000310491	337
9606.ENSP00000247470	337
9606.ENSP00000354720	337
9606.ENSP00000354511	336
9606.ENSP00000477572	336
9606.ENSP00000261733	336
9606.ENSP00000371393	335
9606.ENSP00000398803	334
9606.ENSP00000444935	333
9606.ENSP00000325905	332
9606.ENSP00000359345	331
9606.ENSP00000354566	331
9606.ENSP00000258962	331
9606.ENSP00000359645	330
9606.ENSP00000265838	330
9606.ENSP00000256496	329
9606.ENSP00000243563	328
9606.ENSP00000485525	328
9606.ENSP00000307889	327
9606.ENSP00000345672	327
9606.ENSP00000296702	326
9606.ENSP00000222553	325
9606.ENSP00000413625	325
9606.ENSP00000428426	323
9606.ENSP00000376889	323
9606.ENSP00000244573	323
9606.ENSP00000472985	322
9606.ENSP00000427421	321
9606.ENSP00000356828	320
9606.ENSP00000215071	319
9606.ENSP00000463393	316
9606.ENSP00000383168	316
9606.ENSP00000435289	316
9606.ENSP00000360939	315
9606.ENSP00000296370	314
9606.ENSP00000362010	312
9606.ENSP00000468057	312
9606.ENSP00000225792	312
9606.ENSP00000375863	312
9606.ENSP00000478725	312
9606.ENSP00000318297	312
9606.ENSP00000373312	308
9606.ENSP00000307863	307
9606.ENSP00000323421	307
9606.ENSP00000368959	307
9606.ENSP00000397261	307
9606.ENSP00000278407	307
9606.ENSP00000361711	306
9606.ENSP00000217131	306
9606.ENSP00000356354	306
9606.ENSP00000236959	305
