#id: 3902734007
#name: H.sapiens - Whole organism (Integrated)
#score: 35.5
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 35.5, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.338;9606-PA_201408:0.304;9606_GPM_201408:0.178;Human_iBAQ_Khan_2013:0.089;peptideatlaBuild_March2009.peptides.new:0.064;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;HsapiensBuild242_May2010.peptides.new:0.007;
#publication_year: 2023
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#string_external_id	abundance
9606.ENSP00000325376	558
9606.ENSP00000371267	556
9606.ENSP00000349428	552
9606.ENSP00000221419	552
9606.ENSP00000447001	551
9606.ENSP00000297185	551
9606.ENSP00000428895	551
9606.ENSP00000342374	551
9606.ENSP00000377958	550
9606.ENSP00000369538	549
9606.ENSP00000252699	548
9606.ENSP00000383003	546
9606.ENSP00000362820	544
9606.ENSP00000427687	543
9606.ENSP00000275603	538
9606.ENSP00000386717	536
9606.ENSP00000318697	535
9606.ENSP00000350090	530
9606.ENSP00000352252	529
9606.ENSP00000358160	529
9606.ENSP00000366999	529
9606.ENSP00000480826	529
9606.ENSP00000482271	529
9606.ENSP00000483283	529
9606.ENSP00000484095	529
9606.ENSP00000484638	529
9606.ENSP00000484658	529
9606.ENSP00000484841	529
9606.ENSP00000306330	526
9606.ENSP00000357156	526
9606.ENSP00000438615	526
9606.ENSP00000298510	525
9606.ENSP00000307786	524
9606.ENSP00000358723	524
9606.ENSP00000375978	523
9606.ENSP00000346921	520
9606.ENSP00000262407	518
9606.ENSP00000226253	517
9606.ENSP00000244534	514
9606.ENSP00000331897	512
9606.ENSP00000226355	511
9606.ENSP00000215829	511
9606.ENSP00000355315	511
9606.ENSP00000379506	509
9606.ENSP00000354739	505
9606.ENSP00000262428	503
9606.ENSP00000377640	503
9606.ENSP00000451560	500
9606.ENSP00000356652	499
9606.ENSP00000414359	498
9606.ENSP00000381057	497
9606.ENSP00000351108	496
9606.ENSP00000302886	496
9606.ENSP00000464813	494
9606.ENSP00000348933	493
9606.ENSP00000414321	493
9606.ENSP00000358727	490
9606.ENSP00000391826	490
9606.ENSP00000333326	485
9606.ENSP00000410059	485
9606.ENSP00000478725	482
9606.ENSP00000253496	482
9606.ENSP00000297258	479
9606.ENSP00000482075	478
9606.ENSP00000346067	478
9606.ENSP00000342850	476
9606.ENSP00000226524	476
9606.ENSP00000416706	475
9606.ENSP00000385385	475
9606.ENSP00000394496	475
9606.ENSP00000479488	475
9606.ENSP00000372155	474
9606.ENSP00000404121	474
9606.ENSP00000467466	473
9606.ENSP00000446252	472
9606.ENSP00000361076	472
9606.ENSP00000230050	469
9606.ENSP00000271308	468
9606.ENSP00000379975	466
9606.ENSP00000225430	465
9606.ENSP00000383118	461
9606.ENSP00000234313	458
9606.ENSP00000242776	458
9606.ENSP00000441543	456
9606.ENSP00000419665	455
9606.ENSP00000321259	454
9606.ENSP00000293831	451
9606.ENSP00000379888	450
9606.ENSP00000369965	450
9606.ENSP00000385035	449
9606.ENSP00000325905	446
9606.ENSP00000337060	445
9606.ENSP00000309431	445
9606.ENSP00000364805	441
9606.ENSP00000351190	440
9606.ENSP00000356275	440
9606.ENSP00000164139	439
9606.ENSP00000298159	437
9606.ENSP00000355228	435
9606.ENSP00000261366	435
9606.ENSP00000400175	433
9606.ENSP00000291568	430
9606.ENSP00000456206	429
9606.ENSP00000399888	429
9606.ENSP00000417864	429
9606.ENSP00000406162	428
9606.ENSP00000317334	428
9606.ENSP00000400467	427
9606.ENSP00000258962	422
9606.ENSP00000331544	419
9606.ENSP00000477781	417
9606.ENSP00000361635	417
9606.ENSP00000265062	416
9606.ENSP00000262193	415
9606.ENSP00000279022	415
9606.ENSP00000270625	414
9606.ENSP00000376276	412
9606.ENSP00000305675	412
9606.ENSP00000370023	411
9606.ENSP00000485444	411
9606.ENSP00000463784	409
9606.ENSP00000273283	408
9606.ENSP00000262584	407
9606.ENSP00000273258	405
9606.ENSP00000318646	405
9606.ENSP00000360034	403
9606.ENSP00000332139	402
9606.ENSP00000381581	401
9606.ENSP00000290299	401
9606.ENSP00000352438	399
9606.ENSP00000376309	399
9606.ENSP00000304236	398
9606.ENSP00000354532	398
9606.ENSP00000367154	397
9606.ENSP00000264870	396
9606.ENSP00000222247	395
9606.ENSP00000470972	394
9606.ENSP00000368458	394
9606.ENSP00000430706	394
9606.ENSP00000363676	393
9606.ENSP00000256104	393
9606.ENSP00000286713	393
9606.ENSP00000284440	392
9606.ENSP00000308405	390
9606.ENSP00000296417	390
9606.ENSP00000418868	389
9606.ENSP00000351646	388
9606.ENSP00000310226	387
9606.ENSP00000044462	384
9606.ENSP00000386636	383
9606.ENSP00000338413	383
9606.ENSP00000261712	383
9606.ENSP00000416126	380
9606.ENSP00000317674	378
9606.ENSP00000319464	377
9606.ENSP00000299367	376
9606.ENSP00000266735	375
9606.ENSP00000246533	374
9606.ENSP00000342056	374
9606.ENSP00000258091	373
9606.ENSP00000349142	372
9606.ENSP00000474560	370
9606.ENSP00000435777	366
9606.ENSP00000325136	365
9606.ENSP00000416683	362
9606.ENSP00000472469	362
9606.ENSP00000429374	362
9606.ENSP00000253024	362
9606.ENSP00000389026	362
9606.ENSP00000308720	361
9606.ENSP00000324422	358
9606.ENSP00000168216	357
9606.ENSP00000354826	357
9606.ENSP00000360671	356
9606.ENSP00000349748	354
9606.ENSP00000247153	354
9606.ENSP00000398610	354
9606.ENSP00000290541	353
9606.ENSP00000217426	353
9606.ENSP00000248975	352
9606.ENSP00000346015	352
9606.ENSP00000354468	352
9606.ENSP00000419117	351
9606.ENSP00000400433	351
9606.ENSP00000354346	349
9606.ENSP00000361626	347
9606.ENSP00000348849	345
9606.ENSP00000305556	344
9606.ENSP00000479606	343
9606.ENSP00000270776	343
9606.ENSP00000306606	342
9606.ENSP00000434412	342
9606.ENSP00000223321	342
9606.ENSP00000381250	341
9606.ENSP00000370115	339
9606.ENSP00000479861	337
9606.ENSP00000379873	337
9606.ENSP00000355759	337
9606.ENSP00000457513	336
9606.ENSP00000301587	336
9606.ENSP00000263368	336
9606.ENSP00000345848	335
9606.ENSP00000363773	333
9606.ENSP00000263413	330
9606.ENSP00000267884	327
9606.ENSP00000481878	327
9606.ENSP00000316176	327
9606.ENSP00000376800	327
9606.ENSP00000295834	326
9606.ENSP00000464342	325
9606.ENSP00000296674	325
9606.ENSP00000347495	325
9606.ENSP00000357189	324
9606.ENSP00000375730	322
9606.ENSP00000369816	322
9606.ENSP00000355124	321
9606.ENSP00000246554	321
9606.ENSP00000341885	321
9606.ENSP00000336687	321
9606.ENSP00000363071	321
9606.ENSP00000264690	320
9606.ENSP00000450838	320
9606.ENSP00000357709	318
9606.ENSP00000331901	317
9606.ENSP00000340466	316
9606.ENSP00000294742	314
9606.ENSP00000205402	312
9606.ENSP00000357801	312
9606.ENSP00000333667	312
9606.ENSP00000362334	310
9606.ENSP00000376297	309
9606.ENSP00000285379	309
9606.ENSP00000261479	308
9606.ENSP00000387286	308
9606.ENSP00000359446	308
9606.ENSP00000216455	307
9606.ENSP00000290158	306
9606.ENSP00000382595	304
9606.ENSP00000299518	304
9606.ENSP00000362946	302
9606.ENSP00000254301	302
9606.ENSP00000478828	301
