string_external_id,abundance
10090.ENSMUSP00000100029,717
10090.ENSMUSP00000100030,717
10090.ENSMUSP00000100032,717
10090.ENSMUSP00000100033,717
10090.ENSMUSP00000100036,717
10090.ENSMUSP00000100037,717
10090.ENSMUSP00000100042,717
10090.ENSMUSP00000100044,717
10090.ENSMUSP00000100048,717
10090.ENSMUSP00000100546,717
10090.ENSMUSP00000129930,717
10090.ENSMUSP00000136357,717
10090.ENSMUSP00000086398,716
10090.ENSMUSP00000034453,712
10090.ENSMUSP00000114705,712
10090.ENSMUSP00000087466,704
10090.ENSMUSP00000004729,702
10090.ENSMUSP00000017430,699
10090.ENSMUSP00000031637,693
10090.ENSMUSP00000080354,690
10090.ENSMUSP00000059801,690
10090.ENSMUSP00000031411,689
10090.ENSMUSP00000029699,688
10090.ENSMUSP00000029722,686
10090.ENSMUSP00000074658,683
10090.ENSMUSP00000134734,682
10090.ENSMUSP00000093955,682
10090.ENSMUSP00000117347,680
10090.ENSMUSP00000079306,678
10090.ENSMUSP00000004673,676
10090.ENSMUSP00000032192,675
10090.ENSMUSP00000105709,674
10090.ENSMUSP00000002551,674
10090.ENSMUSP00000072829,672
10090.ENSMUSP00000072620,669
10090.ENSMUSP00000110882,663
10090.ENSMUSP00000022639,655
10090.ENSMUSP00000131269,654
10090.ENSMUSP00000108828,653
10090.ENSMUSP00000020397,651
10090.ENSMUSP00000114212,651
10090.ENSMUSP00000073880,650
10090.ENSMUSP00000108090,648
10090.ENSMUSP00000026125,647
10090.ENSMUSP00000088288,646
10090.ENSMUSP00000001513,643
10090.ENSMUSP00000090305,642
10090.ENSMUSP00000106481,640
10090.ENSMUSP00000110927,640
10090.ENSMUSP00000103940,639
10090.ENSMUSP00000095287,634
10090.ENSMUSP00000023760,633
10090.ENSMUSP00000099671,630
10090.ENSMUSP00000029041,630
10090.ENSMUSP00000076933,629
10090.ENSMUSP00000020608,624
10090.ENSMUSP00000096549,623
10090.ENSMUSP00000130195,623
10090.ENSMUSP00000101858,619
10090.ENSMUSP00000030051,618
10090.ENSMUSP00000020637,616
10090.ENSMUSP00000034285,615
10090.ENSMUSP00000031565,614
10090.ENSMUSP00000120115,612
10090.ENSMUSP00000121020,612
